otvoritev,barva,stevilo_iger,eco,datum,performance_rating,povprecen_rating,zmaga,remi,poraz,poteze
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack",white,2992,B12,2022-07-24,2220,2206,40.5,22.2,37.4,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Bishop Hunt",white,868,B12,2022-07-14,2269,2246,40.9,22.8,36.3,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 e6 5.g4 Bg6 6.Nge2 c5 7.h4
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Dreyev Defense",black,475,B12,2022-03-05,2261,2310,35.0,23.6,41.5,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 Qb6
"Caro-Kann Defense, Breyer Variation",white,5069,B10,2022-07-24,2249,2227,39.3,29.9,30.8,1.e4 c6 2.d3
"Caro-Kann Defense, Breyer Variation, Stein Attack",white,106,B10,2021-10-02,2427,2423,34.0,34.0,32.1,1.e4 c6 2.d3 d5 3.Nd2 g6 4.g3 Bg7 5.Bg2 e5 6.Ngf3 Ne7 7.O-O O-O 8.b4
"Caro-Kann Defense, Bronstein-Larsen Variation",black,4157,B16,2022-07-19,2162,2224,28.8,27.4,43.8,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6
"Caro-Kann Defense, Classical Variation",black,8922,B18,2022-07-25,2138,2159,32.6,33.2,34.1,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
"Caro-Kann Defense, Classical Variation, Flohr Variation",white,1596,B18,2022-07-24,2320,2284,36.7,37.4,25.9,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3
"Caro-Kann Defense, Classical Variation, Lobron System",black,3328,B19,2022-07-24,2274,2310,31.2,36.4,32.4,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3 e6 11.Bd2 Ngf6 12.O-O-O Be7
"Caro-Kann Defense, Classical Variation, Main lines",white,5142,B18,2022-07-25,2259,2220,36.2,33.6,30.2,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4
"Caro-Kann Defense, Classical Variation, Maroczy Attack",white,297,B18,2022-02-21,2173,2107,46.1,24.9,29.0,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.f4
"Caro-Kann Defense, Classical Variation, Seirawan Variation",white,8865,B19,2022-07-24,2264,2223,36.6,39.2,24.2,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.h4 h6 7.Nf3 Nd7 8.h5 Bh7 9.Bd3 Bxd3 10.Qxd3
"Caro-Kann Defense, De Bruycker Defense",black,404,A40,2022-07-08,2174,2261,32.9,26.0,41.1,1.e4 c6 2.d4 Na6
"Caro-Kann Defense, Euwe Attack",white,236,B10,2022-04-12,2142,2147,37.7,19.9,42.4,1.e4 c6 2.b3
"Caro-Kann Defense, Exchange  Variation, Rubinstein Variation",white,4417,B13,2022-07-25,2184,2148,36.3,32.0,31.7,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Nf6 6.Bf4
"Caro-Kann Defense, Exchange Variation",white,12720,B13,2022-07-30,2099,2071,33.3,27.1,39.6,1.e4 c6 2.d4 d5 3.exd5
"Caro-Kann Defense, Finnish Variation",black,151,B16,2021-12-30,2108,2169,31.1,27.1,41.7,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 h6
"Caro-Kann Defense, Forgacs Variation",white,966,B15,2022-07-23,2311,2281,31.8,42.5,25.7,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6 6.Bc4
"Caro-Kann Defense, General",black,9293,B10,2022-07-30,2104,2132,38.4,21.4,40.3,1.e4 c6
"Caro-Kann Defense, Goldman Variation",white,884,B12,2022-05-28,2221,2191,38.5,25.9,35.6,1.e4 c6 2.Nc3 d5 3.Qf3
"Caro-Kann Defense, Gurgenidze Counterattack",black,263,B15,2022-02-15,2185,2229,42.2,21.7,36.1,1.e4 c6 2.d4 d5 3.Nc3 b5
"Caro-Kann Defense, Gurgenidze System",black,3312,B15,2022-07-25,2198,2263,32.5,29.3,38.3,1.e4 c6 2.d4 d5 3.Nc3 g6
"Caro-Kann Defense, Hillbilly Attack",white,205,B00,2022-07-24,1733,1750,25.4,11.7,62.9,1.e4 c6 2.Bc4
"Caro-Kann Defense, Karpov Variation",black,4526,B17,2022-07-01,2162,2201,28.7,38.7,32.6,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7
"Caro-Kann Defense, Karpov Variation, Modern Main Line",white,1788,B17,2022-07-25,2421,2362,39.8,40.4,19.7,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ngf6 6.Bd3 e6 7.N1f3 Bd6 8.Qe2 h6 9.Ne4 Nxe4 10.Qxe4
"Caro-Kann Defense, Karpov Variation, Modern Variation",white,1051,B17,2022-07-20,2304,2246,47.5,26.3,26.3,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5
"Caro-Kann Defense, Karpov Variation, Modern Variation, Ivanchuk Defense",black,183,B17,2021-12-26,2202,2307,21.9,31.1,47.0,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Ng5 Ndf6
"Caro-Kann Defense, Karpov Variation, Modern Variation, Kasparov Attack",white,1882,B17,2022-07-25,2207,2171,37.6,32.3,30.1,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Nf3 Ngf6 6.Ng3
"Caro-Kann Defense, Karpov Variation, Smyslov Variation",black,1166,B17,2022-05-23,2243,2286,24.7,37.0,38.3,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Ng5 e6 7.Qe2 Nb6
"Caro-Kann Defense, Karpov Variation, Smyslov Variation, Main Line",white,781,B17,2022-06-26,2361,2318,40.2,35.3,24.5,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Ng5 e6 7.Qe2 Nb6 8.Bb3
"Caro-Kann Defense, Karpov Variation, Tiviakov-Fischer Attack",black,496,B17,2021-05-09,2280,2325,22.0,46.8,31.3,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nd7 5.Bc4 Ngf6 6.Nxf6+ Nxf6
"Caro-Kann Defense, Main Line",white,1655,B15,2022-07-24,2096,2073,36.6,24.9,38.5,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4
"Caro-Kann Defense, Maroczy Variation",white,4080,B12,2022-07-24,2234,2203,42.7,23.5,33.9,1.e4 c6 2.d4 d5 3.f3
"Caro-Kann Defense, Maroczy Variation, Maroczy Gambit",white,341,B12,2022-07-16,2252,2131,66.0,15.5,18.5,1.e4 c6 2.d4 d5 3.f3 dxe4 4.fxe4 e5 5.Nf3 exd4 6.Bc4
"Caro-Kann Defense, Modern Variation",white,1073,B12,2022-06-29,2301,2244,42.0,29.7,28.2,1.e4 c6 2.d4 d5 3.Nd2
"Caro-Kann Defense, Panov Attack",white,1035,B13,2022-07-24,2055,2016,49.4,23.8,26.9,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4
"Caro-Kann Defense, Panov Attack",white,429,B13,2022-07-21,2103,2049,52.5,24.0,23.5,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3
"Caro-Kann Defense, Panov Attack",black,5676,B14,2022-07-24,2150,2187,27.2,30.1,42.6,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 e6
"Caro-Kann Defense, Panov Attack, Fianchetto Defense",black,2769,B14,2022-07-12,2250,2278,32.3,34.2,33.6,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 g6
"Caro-Kann Defense, Panov Attack, Fianchetto Defense, Fianchetto Gambit",black,1028,B13,2022-04-15,2225,2267,32.1,28.8,39.1,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 g6 6.cxd5 Bg7
"Caro-Kann Defense, Panov Attack, Gunderam Attack",white,127,B13,2022-04-14,2088,2019,37.8,22.1,40.2,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.c5
"Caro-Kann Defense, Panov Attack, Modern Defense",black,3719,B13,2022-07-24,2212,2233,33.0,30.0,37.0,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6
"Caro-Kann Defense, Panov Attack, Modern Defense, Carlsbad Line",black,715,B13,2022-07-23,2224,2229,22.7,35.8,41.5,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6 6.Bg5 e6
"Caro-Kann Defense, Panov Attack, Modern Defense, Czerniak Line",black,251,B13,2022-01-21,2219,2293,15.5,37.9,46.6,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6 6.Bg5 Qa5
"Caro-Kann Defense, Panov Attack, Modern Defense, Mieses Line",black,2409,B13,2022-07-24,2185,2189,27.6,41.1,31.2,1.e4 c6 2.d4 d5 3.exd5 cxd5 4.c4 Nf6 5.Nc3 Nc6 6.Nf3 Bg4
"Caro-Kann Defense, Rasa-Studier Gambit",white,149,B15,2022-03-08,2095,2046,36.9,20.8,42.3,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.f3
"Caro-Kann Defense, Standard, Unorthodox Replies",white,934,B15,2022-07-24,2061,2008,47.4,18.2,34.4,1.e4 c6 2.d4 d5 3.Nc3
"Caro-Kann Defense, Tartakower Variation",black,5087,B15,2022-07-28,2202,2232,35.7,27.2,37.1,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ exf6
"Caro-Kann Defense, Two Knights Attack",white,7366,B10,2022-07-27,2261,2230,42.1,26.4,31.5,1.e4 c6 2.Nc3 d5 3.Nf3
"Caro-Kann Defense, Two Knights Attack, Mindeno Variation",black,964,B11,2022-07-24,2150,2168,39.7,25.8,34.4,1.e4 c6 2.Nc3 d5 3.Nf3 Bg4
"Caro-Kann Defense, Two Knights Attack, Mindeno Variation, Exchange Line",black,5792,B11,2022-07-28,2273,2295,30.5,32.2,37.3,1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bxf3
"Caro-Kann Defense, Two Knights Attack, Mindeno Variation, Retreat Line",black,1098,B11,2022-06-25,2189,2208,33.8,23.5,42.7,1.e4 c6 2.Nc3 d5 3.Nf3 Bg4 4.h3 Bh5
"Caro-Kann Defense, Von Hennig Gambit",white,173,B15,2022-04-03,2085,2083,37.6,17.9,44.5,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Bc4
"Catalan Opening, Closed Variation",white,1730,E08,2022-07-26,2347,2296,56.5,29.5,14.1,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2
"Catalan Opening, Closed Variation",white,16042,E06,2022-07-28,2379,2348,42.5,37.4,20.2,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3
"Catalan Opening, Closed Variation",black,1052,E07,2022-07-22,2110,2131,23.3,30.7,46.0,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7
"Catalan Opening, Closed Variation",white,3447,E01,2022-07-31,2321,2287,41.0,31.9,27.0,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2
"Catalan Opening, Closed Variation, Botvinnik Variation",white,452,E07,2022-07-01,2384,2367,52.0,27.6,20.4,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Nc3 c6 8.Qd3
"Catalan Opening, Closed Variation, Rabinovich Variation",black,130,E09,2022-02-01,2260,2297,25.4,31.5,43.1,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2 c6 8.Nbd2 b5
"Catalan Opening, Closed Variation, Traditional Variation",black,2267,E09,2022-07-25,2186,2226,17.9,34.6,47.4,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2 c6 8.Nbd2 b6
"Catalan Opening, General",white,13116,E00,2022-07-24,2353,2319,36.7,34.2,29.1,1.d4 Nf6 2.c4 e6 3.g3
"Catalan Opening, Open Defense",white,9772,E04,2022-07-26,2407,2377,36.0,35.9,28.2,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3
"Catalan Opening, Open Defense",white,487,E02,2022-03-25,2384,2356,30.8,41.7,27.5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Qa4+
"Catalan Opening, Open Defense",white,131,E03,2022-07-28,2403,2379,31.3,41.2,27.5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Qa4+ Nbd7 6.Qxc4
"Catalan Opening, Open Defense, Classical Line",black,715,E05,2022-06-30,2164,2201,18.0,31.6,50.4,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3 Be7
"Catalan Opening, Open Defense, Modern Sharp Variation",black,1230,E04,2022-07-09,2362,2391,25.0,40.5,34.5,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3 Nc6 6.Qa4 Bb4+
"Catalan Opening, Open Defense, Tarrasch Defense",black,641,E04,2022-07-24,2030,2085,19.0,26.2,54.8,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 c5 5.Nf3 Nc6
"Center Game, Accepted",black,389,C21,2022-06-30,1968,1993,28.0,21.9,50.1,1.e4 e5 2.d4 exd4
"Center Game, Berger Variation",black,1528,C22,2022-07-28,2129,2154,39.5,21.0,39.5,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6 4.Qe3 Nf6
"Center Game, Normal Variation",black,286,C22,2022-07-11,2161,2101,49.3,15.7,35.0,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6
"Center Game, Paulsen Attack Variation",white,1440,C22,2022-07-10,2089,2044,52.4,17.9,29.8,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6 4.Qe3
"Clemenz Opening, General",white,321,A00,2022-07-08,2200,2192,42.4,18.7,38.9,1.h3
Colle System,white,3048,D05,2022-07-27,2064,2048,45.0,26.6,28.4,1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.Bd3
Colle System,black,1550,D05,2022-07-27,2072,2080,32.1,31.0,36.9,1.d4 d5 2.Nf3 Nf6 3.e3 e6
"Colle System, Traditional Colle",white,2046,D05,2022-07-29,2095,2053,37.1,27.8,35.1,1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.Bd3 c5 5.c3
"Czech Defense, General",black,8760,B07,2022-07-23,2144,2194,34.0,23.8,42.1,1.e4 d6 2.d4 Nf6 3.Nc3 c6
"Danish Gambit, Declined, Sorensen Defense",black,469,C21,2022-07-06,2118,2110,39.5,27.5,33.0,1.e4 e5 2.d4 exd4 3.c3 d5
"Danish Gambit, General",white,667,C21,2022-07-22,1943,1932,48.1,13.6,38.2,1.e4 e5 2.d4 exd4 3.c3
"Dutch Defense, Alekhine Variation",black,367,A92,2022-03-27,2271,2302,26.2,34.3,39.5,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O Ne4
"Dutch Defense, Blackburne Variation",white,364,A81,2022-07-04,2290,2278,41.5,31.0,27.5,1.d4 f5 2.g3 Nf6 3.Bg2 e6 4.Nh3
"Dutch Defense, Blackmar's Second Gambit",white,285,A80,2022-07-24,2198,2185,39.0,20.4,40.7,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.f3
"Dutch Defense, Classical Variation",white,2477,A90,2022-07-24,2326,2286,44.4,30.0,25.6,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2
"Dutch Defense, Classical Variation",black,2026,A84,2022-07-09,2129,2154,32.9,28.2,38.9,1.d4 f5 2.c4 e6
"Dutch Defense, Classical Variation",black,238,A92,2022-04-12,2160,2246,19.8,27.3,52.9,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O
"Dutch Defense, Classical Variation",black,417,A91,2022-05-22,2206,2200,29.0,30.7,40.3,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7
"Dutch Defense, Classical Variation, Blackburne Attack",white,244,A91,2022-03-22,2340,2276,51.2,27.1,21.7,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nh3
"Dutch Defense, Classical Variation, Buenos Aires Variation",black,867,A96,2022-06-19,2191,2226,28.0,28.5,43.5,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 a5
"Dutch Defense, Classical Variation, General",black,984,A96,2022-07-23,2152,2189,23.3,26.9,49.8,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6
"Dutch Defense, Classical Variation, Huisl Variation",black,1013,A96,2022-07-24,2173,2175,29.5,27.7,42.7,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 Ne4
"Dutch Defense, Classical Variation, Ilyin-Zhenevsky Variation, Alatortsev-Lisitsyn Line",white,333,A98,2022-04-19,2274,2246,41.7,29.1,29.1,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 Qe8 8.Qc2
"Dutch Defense, Classical Variation, Ilyin-Zhenevsky Variation, General",black,699,A97,2022-04-11,2183,2230,25.9,30.0,44.1,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 Qe8
"Dutch Defense, Classical Variation, Ilyin-Zhenevsky Variation, Modern Main Line",white,447,A99,2022-05-10,2381,2326,52.1,26.6,21.3,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 Qe8 8.b3
"Dutch Defense, Classical Variation, Stonewall Variation",black,744,A95,2022-05-29,2150,2190,25.4,29.6,45.0,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d5 7.Nc3 c6
"Dutch Defense, Classical Variation, Stonewall Variation",white,413,A94,2022-01-10,2343,2286,52.5,31.5,16.0,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d5 7.b3 c6 8.Ba3
"Dutch Defense, Classical Variation, Stonewall Variation, Botvinnik Variation",white,353,A93,2022-04-19,2374,2312,39.7,34.6,25.8,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d5 7.b3
"Dutch Defense, Fianchetto Attack",white,2272,A81,2022-07-09,2301,2273,44.6,28.6,26.8,1.d4 f5 2.g3
"Dutch Defense, Fianchetto Variation",white,191,A86,2022-07-17,2239,2206,42.9,25.6,31.4,1.d4 f5 2.c4 Nf6 3.g3
"Dutch Defense, General",black,8032,A80,2022-07-27,2112,2147,35.8,25.3,38.9,1.d4 f5
"Dutch Defense, Hopton Attack",white,4076,A80,2022-07-20,2259,2216,46.8,23.1,30.1,1.d4 f5 2.Bg5
"Dutch Defense, Janzen-Korchnoi Gambit",white,146,A80,2022-04-19,2146,2161,44.5,20.6,34.9,1.d4 f5 2.h3 Nf6 3.g4
"Dutch Defense, Kmoch Attack",white,137,A80,2022-05-24,2258,2205,43.8,21.2,35.0,1.d4 f5 2.Qd3
"Dutch Defense, Korchnoi Attack",white,236,A80,2022-04-12,2225,2207,44.1,19.5,36.4,1.d4 f5 2.h3
"Dutch Defense, Krejcik Gambit",white,386,A80,2022-06-20,2184,2172,49.5,15.0,35.5,1.d4 f5 2.g4
"Dutch Defense, Leningrad Variation",black,696,A86,2022-06-12,2230,2239,32.8,30.2,37.1,1.d4 f5 2.c4 Nf6 3.g3 g6
"Dutch Defense, Leningrad Variation",white,2093,A87,2022-07-10,2298,2257,39.7,30.7,29.7,1.d4 f5 2.c4 Nf6 3.g3 g6 4.Bg2 Bg7 5.Nf3
"Dutch Defense, Leningrad Variation, Matulovic Variation",black,3217,A89,2022-07-25,2228,2252,33.1,28.8,38.1,1.d4 f5 2.c4 Nf6 3.g3 g6 4.Bg2 Bg7 5.Nf3 O-O 6.O-O d6 7.Nc3 Nc6
"Dutch Defense, Leningrad Variation, Warsaw Variation",black,4534,A88,2022-07-20,2259,2293,31.7,32.1,36.2,1.d4 f5 2.c4 Nf6 3.g3 g6 4.Bg2 Bg7 5.Nf3 O-O 6.O-O d6 7.Nc3 c6
"Dutch Defense, Modern Stonewall Variation",black,2133,A97,2010-05-23,2286,2331,23.1,39.3,37.6,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 d5 5.Nf3 c6 6.O-O Bd6
"Dutch Defense, Nimzo-Dutch Variation",black,677,A90,2022-05-01,2194,2278,21.9,28.8,49.3,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Bb4+
"Dutch Defense, Nimzo-Dutch Variation, Alekhine Variation",black,133,A90,2022-04-19,2287,2321,29.3,31.6,39.1,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Bb4+ 5.Bd2 Be7
"Dutch Defense, Normal Variation",black,900,A84,2022-07-23,2093,2118,39.6,20.9,39.6,1.d4 f5 2.c4 Nf6
"Dutch Defense, Queen's Knight Variation",white,5010,A85,2022-07-25,2153,2126,39.3,23.1,37.6,1.d4 f5 2.c4 Nf6 3.Nc3
"Dutch Defense, Raphael Variation",white,3490,A80,2022-07-30,2294,2245,48.6,25.1,26.3,1.d4 f5 2.Nc3
"Dutch Defense, Rubinstein Variation",white,2968,A84,2022-07-21,2150,2126,40.3,25.6,34.1,1.d4 f5 2.c4 e6 3.Nc3
"Dutch Defense, Semi-Leningrad Variation",black,6275,A81,2022-07-16,2266,2302,25.2,32.1,42.7,1.d4 f5 2.g3 Nf6 3.Bg2 g6
"Dutch Defense, Staunton Gambit, Accepted",black,215,A82,2022-07-09,2014,2088,31.2,16.7,52.1,1.d4 f5 2.e4 fxe4
"Dutch Defense, Staunton Gambit, Chigorin Variation",black,387,A83,2022-05-02,2144,2195,33.6,24.3,42.1,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 c6
"Dutch Defense, Staunton Gambit, General Variation",white,1605,A83,2022-07-08,2189,2158,42.1,23.1,34.8,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5
"Dutch Defense, Staunton Gambit, Lasker Variation",white,145,A83,2022-04-07,2290,2221,47.6,22.1,30.3,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 g6 5.f3
"Dutch Defense, Stonewall Variation, General Variation",black,342,A92,2022-02-26,2245,2283,22.8,31.9,45.3,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d5
"Dutch Defense, Stonewall Variation, Modern Variation",black,2670,A90,2022-07-24,2159,2190,24.1,32.7,43.2,1.d4 f5 2.c4 e6 3.Nf3 Nf6 4.g3 c6 5.Bg2 d5 6.O-O Bd6
"Elephant Gambit, General",black,738,C40,2022-04-19,2004,2038,36.0,14.1,49.9,1.e4 e5 2.Nf3 d5
"Elephant Gambit, Maroczy Gambit",black,208,C40,2022-07-09,2036,2081,32.2,13.9,53.9,1.e4 e5 2.Nf3 d5 3.exd5 Bd6
"Elephant Gambit, Paulsen Countergambit",black,491,C40,2022-07-24,1901,1935,37.9,10.6,51.5,1.e4 e5 2.Nf3 d5 3.exd5 e4
"English Defense, General",black,2031,A40,2010-05-28,2318,2352,33.5,30.3,36.1,1.d4 e6 2.c4 b6
"English Defense, Perrin Variation",black,300,A40,2022-05-20,2385,2431,33.7,29.3,37.0,1.c4 e6 2.d4 b6 3.e4 Bb7 4.Bd3 Nc6
"English Opening, Adorjan Defense",black,240,A10,2022-04-01,2452,2483,25.0,42.5,32.5,1.c4 g6 2.e4 e5
"English Opening, Agincourt Defense",black,9958,A13,2022-07-31,2186,2203,33.9,29.0,37.1,1.c4 e6
"English Opening, Agincourt Defense, Agincourt Variation",white,2766,A13,2022-07-25,2347,2320,38.5,33.0,28.4,1.c4 e6 2.Nf3 d5 3.g3
"English Opening, Agincourt Defense, Bogoljubow Defense",black,320,A13,2022-07-21,2039,2016,22.2,22.8,55.0,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Bd6
"English Opening, Agincourt Defense, Catalan Defense Accepted",black,5271,A13,2022-07-20,2357,2381,26.3,40.3,33.4,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 dxc4
"English Opening, Agincourt Defense, Catalan Defense, Semi-Slav Defense",black,2100,A13,2022-07-28,2096,2107,21.5,28.2,50.3,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 c6
"English Opening, Agincourt Defense, Keres Defense",black,1065,A14,2022-05-14,2308,2342,18.4,44.9,36.7,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O c5 6.cxd5 Nxd5 7.Nc3 Nc6
"English Opening, Agincourt Defense, King's Knight",black,5919,A13,2022-07-29,2263,2271,28.8,33.8,37.5,1.c4 e6 2.Nf3 d5
"English Opening, Agincourt Defense, Kurajica Defense",black,583,A13,2022-07-04,2143,2201,19.6,30.4,50.1,1.c4 e6 2.Nf3 d5 3.g3 c6
"English Opening, Agincourt Defense, Neo Catalan Declined",white,10697,A14,2022-07-25,2364,2348,40.8,35.6,23.6,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O
"English Opening, Agincourt Defense, Tarrasch Defense",black,843,A14,2022-07-05,2241,2250,27.3,30.7,42.0,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 c5 5.b3 Nc6 6.O-O Be7
"English Opening, Agincourt Defense, Wimpy System",white,1201,A13,2022-07-25,2298,2308,37.4,30.6,32.0,1.c4 e6 2.Nf3 d5 3.b3 Nf6 4.Bb2 c5 5.e3
"English Opening, Anglo-Dutch Defense",black,6207,A10,2022-07-22,2162,2188,32.5,25.9,41.6,1.c4 f5
"English Opening, Anglo-Indian Defense, Anglo-GrÃ¼nfeld Variation",white,1109,A16,2022-07-25,2315,2279,49.7,29.0,21.3,1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3
"English Opening, Anglo-Indian Defense, Anglo-GrÃ¼nfeld Variation",black,1599,A16,2022-07-05,2230,2264,25.9,31.1,42.9,1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 g6 5.Bg2 Nb6
"English Opening, Anglo-Indian Defense, Anglo-GrÃ¼nfeld Variation",black,1194,A16,2022-07-18,2220,2229,24.6,35.3,40.1,1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.g3 g6 5.Bg2 Nxc3
